hosp	unit	tech	teach	beds	unitsur	we			expe	full	pa
1	1	1	0	502	0	2.35748299319728	20	1	11
1	1	1	0	502	0	2.35748299319728	19	0	7
1	1	1	0	502	0	2.35748299319728	13	1	16
1	1	1	0	502	0	2.35748299319728	0	1	10
1	1	1	0	502	0	2.35748299319728	17	0	32
1	1	1	0	502	0	2.35748299319728	1	1	3
1	1	1	0	502	0	2.35748299319728	9	1	16
1	2	1	0	502	0	2.77079365079365	1	1	6
1	2	1	0	502	0	2.77079365079365	0	1	5
1	2	1	0	502	0	2.77079365079365	7	1	10
1	2	1	0	502	0	2.77079365079365	1	1	4
1	2	1	0	502	0	2.77079365079365	3	1	12
1	2	1	0	502	0	2.77079365079365	12	0	7
1	2	1	0	502	0	2.77079365079365	0	1	7
1	2	1	0	502	0	2.77079365079365	3	1	9
1	2	1	0	502	0	2.77079365079365	3	1	3
1	2	1	0	502	0	2.77079365079365	4	1	12
1	3	1	0	502	1	2.2668253968254		2	1	6
1	3	1	0	502	1	2.2668253968254		2	1	6
1	3	1	0	502	1	2.2668253968254		2	1	3
1	3	1	0	502	1	2.2668253968254		20	0	10
1	3	1	0	502	1	2.2668253968254		19	0	5
1	4	1	0	502	1	2.56604938271605	34	0	11
1	4	1	0	502	1	2.56604938271605	23	0	12
1	4	1	0	502	1	2.56604938271605	6	1	6
1	4	1	0	502	1	2.56604938271605	30	1	22
1	4	1	0	502	1	2.56604938271605	3	1	4
1	4	1	0	502	1	2.56604938271605	30	0	11
1	4	1	0	502	1	2.56604938271605	25	0	6
1	4	1	0	502	1	2.56604938271605	25	1	6
1	4	1	0	502	1	2.56604938271605	14	1	24
1	5	1	0	502	0	2.63789682539683	19	0	6
1	5	1	0	502	0	2.63789682539683	0.3	1	9
1	5	1	0	502	0	2.63789682539683	25	1	5
1	5	1	0	502	0	2.63789682539683	3	1	10
1	5	1	0	502	0	2.63789682539683	1	1	5
1	5	1	0	502	0	2.63789682539683	2	1	21
1	5	1	0	502	0	2.63789682539683	14	0	5
1	5	1	0	502	0	2.63789682539683	0	1	9
1	6	1	0	502	1	2.83878968253968	20	0	3
1	6	1	0	502	1	2.83878968253968	7	1	13
1	6	1	0	502	1	2.83878968253968	3	1	11
1	6	1	0	502	1	2.83878968253968	7	1	21
1	6	1	0	502	1	2.83878968253968	18	0	8
1	6	1	0	502	1	2.83878968253968	14	1	23
1	6	1	0	502	1	2.83878968253968	13	1	3
1	6	1	0	502	1	2.83878968253968	6	1	11
2	7	0	0	230	0	2.47356532356532	8	1	13
2	7	0	0	230	0	2.47356532356532	4	1	7
2	7	0	0	230	0	2.47356532356532	11	0	9
2	7	0	0	230	0	2.47356532356532	29	1	19
2	7	0	0	230	0	2.47356532356532	30	0	25
2	7	0	0	230	0	2.47356532356532	8	1	27
2	7	0	0	230	0	2.47356532356532	12	0	7
2	7	0	0	230	0	2.47356532356532	7	0	18
2	7	0	0	230	0	2.47356532356532	23	0	17
2	7	0	0	230	0	2.47356532356532	4	1	7
2	7	0	0	230	0	2.47356532356532	18	0	13
2	7	0	0	230	0	2.47356532356532	8	0	5
2	7	0	0	230	0	2.47356532356532	2.5	1	5
2	8	0	0	230	0	2.7233630952381		33	0	16
2	8	0	0	230	0	2.7233630952381		2	1	8
2	8	0	0	230	0	2.7233630952381		31	1	3
2	8	0	0	230	0	2.7233630952381		9	1	8
2	8	0	0	230	0	2.7233630952381		9	0	9
2	8	0	0	230	0	2.7233630952381		22	1	1
2	8	0	0	230	0	2.7233630952381		20	0	25
2	8	0	0	230	0	2.7233630952381		30	1	5
2	9	0	0	230	1	2.51063492063492	2	0	26
2	9	0	0	230	1	2.51063492063492	11	0	10
2	9	0	0	230	1	2.51063492063492	3	1	1
2	9	0	0	230	1	2.51063492063492	19	1	15
2	9	0	0	230	1	2.51063492063492	19	0	21
2	9	0	0	230	1	2.51063492063492	9	0	5
2	9	0	0	230	1	2.51063492063492	1	1	12
2	9	0	0	230	1	2.51063492063492	3	1	7
2	9	0	0	230	1	2.51063492063492	9	0	15
2	9	0	0	230	1	2.51063492063492	28	0	1
2	10	0	0	230	1	2.5475			3	1	16
2	10	0	0	230	1	2.5475			7	1	2
2	10	0	0	230	1	2.5475			2	1	15
2	10	0	0	230	1	2.5475			12	1	2
2	10	0	0	230	1	2.5475			8	1	3
2	10	0	0	230	1	2.5475			19	0	15
2	10	0	0	230	1	2.5475			25	0	12
